EXTRELNO,EXRELACTCD,EXTRELSTDT,EXRELDATEN
29034,FP,2005-09-28,2014-09-15
29040,FP,2005-09-28,NaT
29042,FP,2005-09-28,2007-11-15
29055,FP,2005-09-28,NaT
29059,FP,2005-09-28,NaT
29059,CT,2013-05-22,NaT
29069,FP,2005-09-28,NaT
29070,FP,2005-09-28,2009-11-26
29078,FP,2005-09-28,2009-03-09
29079,FP,2005-09-28,NaT
29090,FP,2005-09-28,2007-11-28
29095,FP,2005-09-28,2015-08-06
29099,FP,2005-09-28,NaT
29100,FP,2005-09-28,2009-03-02
29104,FP,2005-09-28,NaT
29110,FP,2005-09-28,NaT
29116,FP,2005-10-29,2006-11-27
29122,FP,2005-10-29,NaT
29124,CT,2005-10-29,NaT
29124,FP,2005-10-29,NaT
29127,FP,2005-10-29,2011-11-16
29132,FP,2005-10-29,NaT
29135,FP,2005-10-29,NaT
29139,FP,2005-10-29,NaT
29141,FP,2005-10-29,NaT
29141,CT,2008-01-30,NaT
29143,FP,2005-10-29,2017-01-17
29143,CT,2013-05-15,NaT
29145,FP,2005-10-29,NaT
29149,FP,2005-10-29,NaT
29153,CT,2005-10-29,NaT
29153,FP,2005-10-29,NaT
29158,FP,2005-10-29,2015-02-10
29158,CT,2010-10-21,NaT
